"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-262",390,-2.245641,0.1549768,0.1,0.8,0.112957336191911,0.160337552742616,-2.24307006527379,0.00308900931947532,0.151685983935363,0.00471506583507406,-2.24268880410497,0.00337176444748137,0.122476710531201,0.00467164938254264,-2.24869765189379,0.00952121688496034,0.151485408574321,0.0151807441372405,-2.2423859008342,0.00322290992939881,0.151644961754013,0.00446341492434271,0.792070508228698
"11422-263",390,-2.245641,0.1549768,0.1,0.8,0.112531468590206,0.154471544715447,-2.24298076545185,0.0030316387577296,0.150977454543466,0.00476442834596673,-2.24138571812496,0.00329416335899996,0.118067607996648,0.00467757879157901,-2.24466551575787,0.00970965137040816,0.151184831989025,0.0149463327451429,-2.24199713945063,0.00310108303065007,0.151977339900167,0.00463681869567873,0.772272284215662
"11422-264",390,-2.245641,0.1549768,0.1,0.8,0.114426426879087,0.14622641509434,-2.23823023706981,0.00326158718404465,0.148283754042738,0.00464009490724946,-2.23715064577008,0.00352738490216779,0.125813486238215,0.00468258218751728,-2.23294958056891,0.0108785630636959,0.139931987356404,0.0147050435085277,-2.23824797122392,0.00343141258602496,0.147455796523703,0.00413929047312707,0.857086450267412
"11422-265",390,-2.245641,0.1549768,0.1,0.8,0.113496051636699,0.173333333333333,-2.24802929524384,0.00317607490514574,0.162630040390966,0.00466733721667051,-2.24656768815849,0.00349091593618005,0.130858526123236,0.0046835764399014,-2.25237963068544,0.00997112303452513,0.155399964984426,0.014849352121272,-2.24724479769278,0.00330681471162254,0.16369265397954,0.00425991283104979,0.794008590588682
"11422-266",390,-2.245641,0.1549768,0.1,0.8,0.112969440316676,0.191489361702128,-2.24946960305285,0.00311055823458576,0.164938865373323,0.00470479232869407,-2.24861220025865,0.0034567730438187,0.128581263227759,0.00468578994680847,-2.25063553659567,0.00936914412167789,0.168294644321313,0.0153230637295711,-2.24800886790661,0.00322270411965858,0.165526246833249,0.00453159337386638,0.754870918974828
"11422-267",390,-2.245641,0.1549768,0.1,0.8,0.113496543267665,0.198237885462555,-2.24392095448823,0.00315697719333415,0.155395195614485,0.00467302951000764,-2.24276545032238,0.00352271995273631,0.121793278222547,0.00469312826661303,-2.23642494785943,0.00966104258757709,0.158963921122015,0.0148655431256452,-2.24419383113705,0.00338591225677957,0.15535335190631,0.00427454943287305,0.787243529698341
"11422-268",390,-2.245641,0.1549768,0.1,0.8,0.112935608877011,0.177489177489178,-2.24524234632422,0.003132118566505,0.150936583606548,0.00469745832225285,-2.24318617018487,0.00345090188412132,0.117952483281605,0.00468543257672624,-2.25025477303197,0.00933478705487076,0.152222892193508,0.0154521270599683,-2.24466133416178,0.00325265962935149,0.151022192895945,0.00451466754586587,0.787189650155101
"11422-269",390,-2.245641,0.1549768,0.1,0.8,0.112639918306622,0.156118143459916,-2.24577642698057,0.00309352915137209,0.15161779636808,0.00472374873540181,-2.24530923314983,0.00336610582963049,0.122974922853869,0.0046786226958818,-2.24145808632536,0.0109031079406047,0.157746503576558,0.0146734350936937,-2.24524806391469,0.00317802793816102,0.151665934762541,0.00457012839117503,0.798203444055729
"11422-270",390,-2.245641,0.1549768,0.1,0.8,0.113493653683813,0.199074074074074,-2.24720291799211,0.0032394527313719,0.153103170800215,0.00465931436411373,-2.24869339547958,0.00362313971536002,0.126995706837388,0.00472890146397577,-2.25131778403873,0.00993709443791696,0.15707815877341,0.014847378023819,-2.24745905408178,0.00341742094189318,0.153158167982921,0.00433882285480827,0.804651331780938
"11422-271",390,-2.245641,0.1549768,0.1,0.8,0.112645467455055,0.172690763052209,-2.24572945466261,0.00301798087666078,0.163367943625596,0.00477376567329037,-2.243817572719,0.00331622400175235,0.12356056142091,0.00467675500178489,-2.24441460096558,0.0103997500740319,0.158552898553356,0.0146723702575431,-2.24491840884422,0.00307027999515914,0.164520186381164,0.00463019622897824,0.750096918513905
