"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_srs","se_beta0_srs","beta1_srs","se_beta1_srs","beta0_bcc","se_beta0_bcc","beta1_bcc","se_beta1_bcc","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_resid","se_beta0_resid","beta1_resid","se_beta1_resid","ppv"
"11422-42",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112152637892994,0.345238095238095,-2.2461830539243,0.00311136190897394,0.153324801668994,0.00490944671283826,-2.24525305877611,0.00319597598983981,0.153500663776469,0.00507871651867408,-2.24512631065888,0.00315487071294617,0.153715842309408,0.00499699189469002,-2.24593478853904,0.00328457311567763,0.153232029774516,0.0051204894243956,0.613333333333333
"11422-43",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111156930428778,0.307407407407407,-2.24282421724178,0.00302342129852604,0.146140934121985,0.00552664481677316,-2.24300017555774,0.00303758609022205,0.145988123291591,0.00541138781331852,-2.2425281169023,0.00294750490349275,0.146031478012651,0.00539250072316707,-2.24290179184187,0.00312166113270567,0.145750578154795,0.00562704881271916,0.591133004926108
"11422-44",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111638175772331,0.301526717557252,-2.24080758024795,0.00307442430890155,0.142833330518612,0.00499451497589578,-2.24095432551966,0.00309477227647581,0.14235545921609,0.00505280227859736,-2.24093996557776,0.00307527513439569,0.142719946597388,0.00493550966381575,-2.24085804608065,0.0032003270305098,0.142435387327317,0.00513452060825651,0.618357487922705
"11422-45",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112140675429437,0.311284046692607,-2.24435682746489,0.00310242801235137,0.156310860157394,0.00481088999381751,-2.24472768180486,0.00315990312244715,0.155861768751222,0.0047469066653211,-2.24407862990316,0.00309886678272502,0.156534578497065,0.00489612268071156,-2.24438021992691,0.00320420838177592,0.155963803309672,0.0048688622281086,0.624413145539906
"11422-46",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.110758915130903,0.322097378277154,-2.25354053950333,0.00301272069837671,0.160845921033386,0.00508881720712803,-2.25326007724493,0.00306139370613056,0.161239080232434,0.00500118555498647,-2.25352760437884,0.00303514194332743,0.160869257630753,0.00507433214917823,-2.25350550174738,0.00312745261508708,0.16075184263613,0.00510821765513823,0.588516746411483
"11422-47",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112606925978751,0.325301204819277,-2.24039754922608,0.00310123485077291,0.156441516794675,0.00475368764953013,-2.24063630536975,0.00312868055519709,0.155049822935837,0.00471325082328323,-2.24087875003121,0.00307572208637573,0.155284328223967,0.00475055341577606,-2.24047929776131,0.00323945673699571,0.155994830602309,0.00484339956010431,0.635135135135135
"11422-48",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112079994925469,0.256704980842912,-2.23868565398563,0.00311932257497093,0.146508385062487,0.00531679365985265,-2.23878411611948,0.00313044290940289,0.145853447897551,0.00532387182285827,-2.23862870861544,0.00305802882480159,0.145672670973335,0.00520075057975019,-2.23868142649077,0.00323106510807127,0.14632139548025,0.00546094198365818,0.658163265306122
"11422-49",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111512076572569,0.267441860465116,-2.25017745573102,0.00316827471679965,0.152765676129976,0.00483444223314813,-2.24968114490761,0.00315345106378658,0.152840057437806,0.00482285569070966,-2.25042532475288,0.00313083873224043,0.152392510065376,0.00476687711515088,-2.25020092508352,0.00325692813567322,0.152491509281857,0.00490595981093103,0.656716417910448
"11422-50",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.11217747558352,0.288,-2.24323877512625,0.00323288275722437,0.145740104194155,0.004738141713367,-2.2428601552953,0.00327386873090095,0.145449825363484,0.0048651372795954,-2.2437698725357,0.0032195680791575,0.144920976597864,0.0048115961759828,-2.24349157764092,0.00335587275070567,0.145266671958646,0.00491932170455338,0.660377358490566
"11422-51",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111179245946775,0.335793357933579,-2.2420101448901,0.00305472050206686,0.142560744133006,0.00532032545903006,-2.24201584902312,0.00303074259679815,0.143048585270689,0.00531604268935719,-2.24229086996621,0.00300326406120914,0.142109303038174,0.00514632238489634,-2.24173260270293,0.00312336023831444,0.143243190479396,0.00550113031273573,0.566666666666667
"11422-52",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111612508270793,0.28996282527881,-2.24426185073357,0.00306112931616668,0.160251187493431,0.00497508867079217,-2.24461520207384,0.00301503339458613,0.159491006531529,0.00492880190958467,-2.24432144511773,0.00301425669969259,0.16023088128553,0.00488583750137911,-2.2443145861186,0.00310809599544637,0.160015050476784,0.00498939278421972,0.608040201005025
"11422-53",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112160797645775,0.337301587301587,-2.24368761976697,0.00307297271934738,0.153905738446231,0.0050856841661916,-2.24350834415365,0.00315249445975517,0.154036240675834,0.0052101577703619,-2.24344748675062,0.00308413985421992,0.154028064667082,0.00523884207560728,-2.24341780273311,0.00324400221691074,0.153787646884893,0.00546618708837166,0.618834080717489
"11422-54",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.11166599494863,0.30859375,-2.25068598128223,0.00312705151906456,0.154646087121989,0.00476354633883166,-2.250684227634,0.00316294005974454,0.15546942412331,0.0048778655898817,-2.25078613718451,0.00315017610537805,0.155277635738336,0.00491150167543909,-2.25052383265541,0.00323858896827481,0.155482672252042,0.00495200536753966,0.629107981220657
"11422-55",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111147707028724,0.318681318681319,-2.24560519602746,0.00297107626489549,0.153921214235036,0.00516114619276322,-2.24565444982913,0.00299222191086918,0.154191715140995,0.00514726325623044,-2.24567781817185,0.00296448648542629,0.154232617770339,0.00511338103124409,-2.24543747977121,0.00303652966320893,0.154262473449768,0.00528965189896402,0.573529411764706
"11422-56",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112026862599921,0.29296875,-2.24679826075503,0.00314011540109623,0.15652421386413,0.00482716032504052,-2.24606560750307,0.00322489543097018,0.156475013304723,0.00500785958321869,-2.24699548228613,0.0031489739173002,0.156318013401248,0.00481006384402735,-2.24681347870546,0.003304461542878,0.156245099113615,0.00498256491152586,0.641148325358852
"11422-57",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112650011674323,0.305785123966942,-2.24257865164503,0.00311974125146068,0.153490042104602,0.00484268280095352,-2.24328684891436,0.00316687107783902,0.152979554928675,0.00478541451289143,-2.2434303635436,0.00319158365382769,0.152704870166808,0.00478493760795374,-2.24279750247389,0.00326130268525663,0.153193705253029,0.00492064068686355,0.666666666666667
"11422-58",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111899404238379,0.332046332046332,-2.24675443159742,0.00310985413151195,0.159173395657751,0.00479318202895771,-2.24638604297816,0.00312746106886114,0.159512715920797,0.00486824784682594,-2.2463793774154,0.00308919898542887,0.159079129565502,0.00485891757627921,-2.2463147491954,0.00319950944923743,0.15938835106676,0.00498089168801406,0.6036866359447
"11422-59",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111977557061542,0.27906976744186,-2.24492272679325,0.00308651098480374,0.15503440759899,0.00487456054865412,-2.24454995949197,0.00311942691167558,0.156077465874595,0.00483755511588567,-2.24445311685898,0.00310437231410596,0.156068114048762,0.00484184317487906,-2.24466449666413,0.00316662009376409,0.155783683026876,0.00489493943069227,0.647058823529412
"11422-60",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.110936418555703,0.265917602996255,-2.25346735048128,0.00306833009994778,0.160620099934815,0.00491875021049443,-2.25396900897057,0.00306532505331346,0.159850572812211,0.00497142075553955,-2.253475925097,0.00305189417896697,0.16052136728549,0.00499011647041134,-2.25370570579737,0.00312516703258879,0.160059752203602,0.0050685567510739,0.634020618556701
"11422-61",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.11281073570216,0.341772151898734,-2.2478431037817,0.0033502592629463,0.160228149485646,0.00443610892863842,-2.2483399056968,0.00336194074285396,0.159631069083534,0.00439776318750157,-2.24809286864083,0.003349515442218,0.160668437200907,0.00444489075876876,-2.24812339616429,0.00347112055326075,0.160512068658118,0.00444614054062284,0.653846153846154
"11422-62",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111529830521962,0.298507462686567,-2.24159735801585,0.00303245827772366,0.145396060108084,0.00502622655472465,-2.24158609098021,0.0030906889402911,0.145605625610276,0.00496969693615934,-2.24158087983052,0.00301564297933945,0.145545898405452,0.00498781767680076,-2.24158034935169,0.00315296598167204,0.145132342371813,0.00511501325703237,0.603960396039604
"11422-63",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112579402923719,0.337301587301587,-2.24254605003327,0.00313194099977644,0.15422613772375,0.00460792814125683,-2.24249636359726,0.00319451729652001,0.152220027254649,0.00464401010134571,-2.2427502502589,0.00317514363258166,0.154025899861347,0.00466350992164817,-2.24288753704579,0.00327796747366026,0.153685342363705,0.00469500295853254,0.618834080717489
"11422-64",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.1118061643272,0.346153846153846,-2.2448595831081,0.00305820875187208,0.149373703115805,0.00532621394079703,-2.24378919046037,0.00310072122246471,0.150111897386003,0.0056299258175019,-2.24409453403548,0.00310697852006492,0.150027460584256,0.00554895033575597,-2.24470797541672,0.0031922959595748,0.149461853140982,0.00574625378284544,0.590909090909091
