"LocationID","CountyName","binX_full","binXstar","PopulationDensity","LandArea","POP","DIABETES","binX_partial"
37151031000,"H",0,0,125.3,57.1,7151,937,NA
37151031100,"H",0,0,156.5,37.2,5823,763,NA
37151031200,"H",1,1,152.9,34.9,5336,753,NA
37151031303,"H",0,0,455.9,9.3,4226,453,NA
37151031304,"H",0,0,194.1,24.2,4701,555,NA
37151031305,"H",0,0,267.9,15.3,4090,487,NA
37151031306,"H",0,0,164.3,41.7,6845,644,NA
37151031400,"H",1,1,610.9,13.8,8452,837,1
37151031501,"H",0,0,398,15.3,6079,627,NA
37151031503,"H",0,0,2173.2,1.4,3011,332,NA
37151031504,"H",1,1,1168.9,4.5,5234,519,1
37151031505,"H",0,0,306.2,11.8,3618,380,NA
37151031601,"H",0,0,413.7,9.4,3905,508,NA
37151031602,"H",0,1,1514.8,1,1504,205,0
37157040101,"I",0,0,82.4,49.7,4097,521,NA
37157040102,"I",0,0,73.7,38.3,2823,314,NA
37157040200,"I",0,0,252.5,15.6,3949,530,NA
37157040300,"I",1,1,642.3,5.8,3712,476,1
37157040400,"I",1,1,768.1,8.3,6361,923,1
37157040501,"I",0,0,383.1,9.6,3659,582,NA
37157040502,"I",0,0,784,3.7,2876,380,NA
37157040601,"I",0,0,95.8,40.4,3872,469,NA
37157040602,"I",0,0,138.9,34.4,4784,555,NA
37157040700,"I",0,0,108.4,41.7,4524,561,NA
37157040800,"I",0,0,590.8,2.8,1666,244,NA
37157040900,"I",1,1,527.3,4.9,2587,360,1
37157041001,"I",0,0,147.9,41.3,6103,623,NA
37157041002,"I",0,0,97.9,60.2,5894,684,NA
37157041100,"I",0,0,131.2,50.8,6657,786,NA
37157041200,"I",1,1,793,6.7,5282,893,1
37157041300,"I",0,0,112.7,59.8,6737,1051,NA
37157041400,"I",1,1,412.5,7.3,2991,467,1
37157041500,"I",0,1,696.3,10,6942,917,0
37157041601,"I",0,0,117.1,30,3513,380,NA
37157041602,"I",0,0,103.9,44.4,4614,490,NA
37169070100,"J",0,0,61.8,108.8,6720,713,NA
37169070200,"J",0,0,48.9,74.9,3660,399,NA
37169070300,"J",0,0,51.7,91.5,4732,573,NA
37169070400,"J",0,0,130.7,40.8,5337,609,NA
37169070501,"J",0,0,574.3,12,6884,813,NA
37169070503,"J",0,1,546.6,10.7,5850,539,0
37169070504,"J",0,0,220.8,15.4,3394,340,NA
37169070600,"J",0,0,98,52.5,5143,535,NA
37169070700,"J",1,1,134.4,42.3,5681,796,1
37171930101,"K",0,0,98.8,21.2,2093,243,NA
37171930102,"K",0,0,129.2,37,4783,551,NA
37171930201,"K",0,0,242.7,14.6,3543,443,NA
37171930202,"K",1,1,285.2,11.7,3332,467,1
37171930301,"K",0,0,334.9,6.1,2042,256,NA
37171930302,"K",1,1,1559.1,2.3,3630,454,1
37171930400,"K",1,1,1827.1,1.4,2576,418,NA
37171930501,"K",0,0,421.5,6.9,2891,295,NA
37171930502,"K",1,1,580.8,5.7,3338,508,1
37171930600,"K",0,0,221.1,15.8,3496,389,NA
37171930700,"K",0,0,155.8,28,4355,488,NA
37171930801,"K",0,0,56.7,91.8,5201,625,NA
37171930802,"K",0,0,58.6,54.2,3176,401,NA
37171930901,"K",1,1,520.5,8.6,4467,590,1
37171930902,"K",0,0,95.9,16.7,1605,169,NA
37171931001,"K",0,0,124.4,20.4,2540,272,NA
37171931002,"K",1,1,156.8,33.3,5216,574,1
37171931003,"K",0,0,101.5,31.9,3234,421,NA
37171931101,"K",0,0,123.3,23.3,2870,345,NA
37171931102,"K",0,0,69.3,53.8,3728,399,NA
37171931103,"K",0,0,72.8,25.4,1846,220,NA
37171931200,"K",1,1,167.4,22.2,3711,405,1
37197050101,"L",0,0,99.5,56.3,5600,616,NA
37197050102,"L",0,0,89.1,45.6,4066,460,NA
37197050200,"L",0,0,103.2,43.9,4528,548,NA
37197050300,"L",0,0,159.5,37.4,5964,806,NA
37197050400,"L",0,0,96.3,69.8,6729,801,NA
37197050501,"L",1,1,192.6,37,7130,799,1
37197050502,"L",0,0,97.9,44.8,4389,492,NA
