"GEOID","CountyName","binX_full","binXstar","POP_DENS","METRO","O_POP","Y_DIABETES","binX_partial"
37081015500,NA,0,0,620.3,TRUE,6111,648,NA
37081015600,NA,1,1,229.7,TRUE,9324,737,1
37081015703,NA,0,0,2511.7,TRUE,5863,481,NA
37081015704,NA,0,1,1445.7,TRUE,6171,457,NA
37081015705,NA,1,1,2001.6,TRUE,3158,234,1
37081015706,NA,0,0,1076.2,TRUE,5288,434,NA
37081015707,NA,0,1,3463.9,TRUE,6612,589,0
37081015800,NA,0,1,349.5,TRUE,7984,615,0
37081015901,NA,0,0,230.9,TRUE,5270,464,NA
37081015902,NA,0,0,308.2,TRUE,3611,268,NA
37081016003,NA,0,0,436.4,TRUE,4294,323,NA
37081016005,NA,0,0,587.6,TRUE,1721,133,NA
37081016006,NA,0,0,1349.7,TRUE,3159,228,NA
37081016007,NA,1,1,2712,TRUE,4933,351,1
37081016008,NA,0,1,1494.6,TRUE,7034,465,0
37081016009,NA,1,1,1304.7,TRUE,3743,311,1
37081016010,NA,0,0,2239.4,TRUE,2607,191,NA
37081016011,NA,0,0,1112,TRUE,5627,400,NA
37081016101,NA,1,1,1894.8,TRUE,5063,466,1
37081016102,NA,1,1,3078.6,TRUE,3930,287,1
37081016103,NA,0,1,4587.7,TRUE,5068,401,0
37081016201,NA,0,0,287.6,TRUE,5352,397,NA
37081016203,NA,0,0,431.1,TRUE,4013,378,NA
37081016204,NA,0,0,455.6,TRUE,2985,206,NA
37081016205,NA,0,0,1839.1,TRUE,3903,274,NA
37081016303,NA,0,0,1550.3,TRUE,3316,319,NA
37081016304,NA,0,0,1617.8,TRUE,3758,275,NA
37081016305,NA,1,1,2174.9,TRUE,3538,291,1
37081016306,NA,0,1,1910,TRUE,4500,342,0
37081016405,NA,1,1,541.2,TRUE,1691,151,1
37081016406,NA,0,0,1115.8,TRUE,3300,232,NA
37081016407,NA,0,0,1810.6,TRUE,4577,339,NA
37081016408,NA,0,0,1630.4,TRUE,1956,190,NA
37081016409,NA,1,1,919.3,TRUE,2513,219,1
37081016410,NA,0,1,1668.8,TRUE,5520,525,NA
37081016502,NA,0,0,643.9,TRUE,5598,538,NA
37081016503,NA,1,1,1806.9,TRUE,3729,232,1
37081016505,NA,0,1,3918.9,TRUE,5072,335,0
37081016506,NA,0,1,2869.3,TRUE,4900,373,0
37081016600,NA,0,0,173.4,TRUE,2500,315,NA
37081016701,NA,0,0,456.5,TRUE,5126,467,NA
37081016702,NA,0,0,230.1,TRUE,3522,370,NA
37081016800,NA,0,0,503.9,TRUE,6584,738,NA
37081016900,NA,0,0,176.8,TRUE,4698,466,NA
37081017000,NA,0,0,94.6,TRUE,4516,475,NA
37081017100,NA,0,0,473.5,TRUE,7273,677,NA
37081017200,NA,0,0,172.4,TRUE,6919,644,NA
37123960100,NA,0,0,112.6,FALSE,6431,766,NA
37123960200,NA,0,0,77.2,FALSE,7370,767,NA
37123960300,NA,0,0,34.9,FALSE,3914,447,NA
37123960401,NA,1,1,69.9,FALSE,2134,359,1
37123960402,NA,0,0,33.1,FALSE,2306,326,NA
37123960500,NA,0,0,44.5,FALSE,5643,864,NA
37151030100,NA,1,1,1217.9,FALSE,4597,580,1
37151030201,NA,1,1,1968.9,FALSE,3078,345,1
37151030202,NA,0,0,708.8,FALSE,5078,605,NA
37151030301,NA,1,1,1319.1,FALSE,6501,735,1
37151030302,NA,0,1,722.6,FALSE,3041,527,0
37151030400,NA,1,1,936.4,FALSE,4193,546,1
37151030502,NA,0,0,307.7,FALSE,4019,459,NA
37151030503,NA,0,0,140.3,FALSE,5855,574,NA
37151030504,NA,0,0,109.7,TRUE,5893,590,NA
37151030600,NA,0,0,196.8,FALSE,6387,748,NA
37151030700,NA,0,0,42.8,FALSE,6011,620,NA
37151030801,NA,0,0,197.1,FALSE,7148,751,NA
37151030802,NA,0,0,81.1,FALSE,6290,667,NA
37151030900,NA,0,0,43.7,FALSE,3686,476,NA
37151031000,NA,0,0,125.3,FALSE,7151,937,NA
37151031100,NA,0,0,156.5,FALSE,5823,763,NA
37151031200,NA,1,1,152.9,TRUE,5336,753,NA
37151031303,NA,0,0,455.9,TRUE,4226,453,NA
37151031304,NA,0,0,194.1,TRUE,4701,555,NA
37151031305,NA,0,0,267.9,TRUE,4090,487,NA
37151031306,NA,0,0,164.3,TRUE,6845,644,NA
37151031400,NA,1,1,610.9,FALSE,8452,837,1
37151031501,NA,0,0,398,TRUE,6079,627,NA
37151031503,NA,0,0,2173.2,TRUE,3011,332,NA
37151031504,NA,1,1,1168.9,TRUE,5234,519,1
37151031505,NA,0,0,306.2,TRUE,3618,380,NA
37151031601,NA,0,0,413.7,TRUE,3905,508,NA
37151031602,NA,0,1,1514.8,TRUE,1504,205,0
37157040101,NA,0,0,82.4,FALSE,4097,521,NA
37157040102,NA,0,0,73.7,FALSE,2823,314,NA
37157040200,NA,0,0,252.5,FALSE,3949,530,NA
37157040300,NA,1,1,642.3,FALSE,3712,476,1
37157040400,NA,1,1,768.1,FALSE,6361,923,1
37157040501,NA,0,0,383.1,FALSE,3659,582,NA
37157040502,NA,0,0,784,FALSE,2876,380,NA
37157040601,NA,0,0,95.8,FALSE,3872,469,NA
37157040602,NA,0,0,138.9,FALSE,4784,555,NA
37157040700,NA,0,0,108.4,TRUE,4524,561,NA
37157040800,NA,0,0,590.8,FALSE,1666,244,NA
37157040900,NA,1,1,527.3,FALSE,2587,360,1
37157041001,NA,0,0,147.9,TRUE,6103,623,NA
37157041002,NA,0,0,97.9,TRUE,5894,684,NA
37157041100,NA,0,0,131.2,FALSE,6657,786,NA
37157041200,NA,1,1,793,FALSE,5282,893,1
37157041300,NA,0,0,112.7,TRUE,6737,1051,NA
37157041400,NA,1,1,412.5,FALSE,2991,467,1
37157041500,NA,0,1,696.3,FALSE,6942,917,0
