"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-589",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121809019672815,0.234042553191489,-2.24179573826494,0.00694126285696579,0.153839422835716,0.00733661379463038,-2.23433617800862,0.0078987832230234,0.141306797436463,0.00823946852441138,-2.24608925993033,0.0237356297815912,0.156603353310292,0.0248781692747001,-2.23817529910485,0.0288108827784203,0.150649560143566,0.0132016697257027,0.962988749606516,""
"11422-590",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121257107874472,0.235294117647059,-2.24555598204106,0.00667081528174889,0.154613296664444,0.00708722502770117,-2.249799401093,0.00764338950520282,0.154362083953943,0.00799874095942938,-2.16444260131232,0.0460287308949162,0.0702114083991005,0.046582070658451,-2.25059440207427,0.00745446930792793,0.158742919293313,0.00781384778681602,0.976153550416573,""
"11422-591",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120719511461152,0.233333333333333,-2.2636312163475,0.0062065109653314,0.174219371070193,0.00666348412775683,-2.26108294041251,0.00708045350451711,0.164850694442374,0.00747082188810607,-2.23393023063655,0.0150125775606572,0.149787800753818,0.0170873497851174,-2.26147114942383,0.00690404206392255,0.172364497105372,0.0073273425072653,0.955321269267126,""
"11422-592",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121160178926211,0.267857142857143,-2.25132608010869,0.00638043472077699,0.162425018690919,0.00682068191711768,-2.2469800729885,0.00742944986908035,0.15121560129203,0.00779734463010385,-2.22514703795584,0.0272975532171156,0.137863736940604,0.0282655277703848,-2.24780537830774,0.0119909848410943,0.159869362097895,0.00715842202592409,0.947629668541578,""
"11422-593",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121531042426084,0.288461538461538,-2.2329606041995,0.00655867802499093,0.143367343962155,0.00698296708409701,-2.23674664831018,0.00778404203654863,0.14181776936467,0.00813157949442078,-2.26092941772521,0.0239045718395252,0.166387614014607,0.0250431740364888,-2.23831765834827,0.021277105515748,0.147806415366096,0.00838655000272263,0.969012403189464,""
"11422-594",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121377464420019,0.395348837209302,-2.25494406071799,0.00729596443974569,0.16280272091989,0.0076708895532364,-2.25498905394171,0.00938522094757326,0.155796641547677,0.00966794376237462,-2.30486614326577,0.0245145157743146,0.205927622688325,0.0256295577799302,-2.25414349655056,0.0430785268103671,0.162445007327901,0.0255741949071525,0.949916017302663,""
"11422-595",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120885931961466,0.4,-2.26296926490487,0.00647442235685302,0.1727062140095,0.00690747623796851,-2.25899200738385,0.00833709501928703,0.158601054616846,0.00866029875454884,-2.28839505440739,0.0153755149545625,0.204752976919269,0.0174056814688575,-2.2652664024991,NA,0.174232519611399,NA,0.944676107986232,""
"11422-596",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121436672172913,0.339622641509434,-2.24910582768917,0.00654672253551183,0.161188129113172,0.00697244113839952,-2.25117909080132,0.00805535205935503,0.155869628557871,0.00839006051959531,-2.25130875997697,0.0179518454956202,0.174300355342722,0.0195565570951033,-2.24738378572809,0.0187274314350239,0.160485622844948,0.00914606883339859,0.941370107998064,""
"11422-597",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121398826409652,0.363636363636364,-2.24628641903705,0.00642505539814476,0.158460595603119,0.0068597769955925,-2.24731162903694,0.00806267685941456,0.151279985728616,0.00839651167853439,-2.28501456985525,0.0344214190215748,0.180399145021648,0.0351836621813406,-2.24999860030989,0.0134912558597968,0.161439929295468,0.00843217224772914,0.951596355225231,""
"11422-598",390,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121099012139875,0.285714285714286,-2.23698589318102,0.00635615752382596,0.145464646068314,0.00679879096953333,-2.23446558400758,0.00752539045458856,0.13646673094501,0.00788817696130306,-2.26955466453845,0.0161416303705602,0.182466570770556,0.0180236684980138,-2.23432060081367,0.0194125240536192,0.143828982760169,0.00621090928259836,0.944236007878743,""
