"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-578",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111366160798581,0.246805648957633,-2.24796424281771,0.00123615111360927,0.155335917291418,0.00206317722498356,-2.24846624315167,0.00142474672706805,0.106172419747556,0.0019806215878063,-2.25470090760309,0.00399715320220752,0.166102232010404,0.00641652922755338,-2.24853728702796,0.00127912702321794,0.153957918884308,0.0020991257030658,0.67404977526913
"11422-579",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111684651211568,0.22521915037087,-2.24281542397084,0.00123525486750625,0.148189079608945,0.00206029747447557,-2.24329302033645,0.00140344643442005,0.104444226831782,0.00197729235379084,-2.24860809172669,0.00385643529822695,0.156827671007559,0.00662931125552636,-2.24302938846709,0.00127184694626567,0.148057802990785,0.00210446186784196,0.685965934840188
"11422-580",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111560494054561,0.246122724207687,-2.24708437552414,0.00123784904442847,0.156885642742723,0.00205901729985248,-2.24753645469022,0.00142580935269731,0.107585037524574,0.0019797365529247,-2.24756052749163,0.00394361355231025,0.151999798852403,0.00647794563609745,-2.24735581636484,0.00127452950774305,0.155568917086192,0.00208213093062083,0.67223381708389
"11422-581",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111707477684793,0.222372881355932,-2.24563797318687,0.00123982822978742,0.155026092320757,0.00205324929688706,-2.24664691798762,0.00140661397084318,0.11126128416415,0.00197671085388638,-2.24448351710093,0.00396772144364007,0.152609953919184,0.00643404821717765,-2.24577704624135,0.00127289566637464,0.154614250167782,0.00207359466344628,0.692340513222851
"11422-582",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111607186114265,0.250168123739072,-2.24551043216394,0.00123469638396885,0.15452515109254,0.00206160443075711,-2.24610787381169,0.00142637194697072,0.105308849230686,0.00197904414813705,-2.24724449997409,0.00397417052987095,0.166363785284991,0.00641655314527402,-2.24535761923474,0.00126698952859597,0.154108785776855,0.00211210141864061,0.657071959886007
"11422-583",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111528028624388,0.249661705006766,-2.24713860217926,0.00123982157937535,0.155225908471541,0.00205753574119862,-2.24684161032315,0.00143086070086739,0.104812569322104,0.001980791032954,-2.24577396462928,0.00401118123217607,0.146266171873513,0.00639164103091711,-2.24693280545764,0.00127342481910264,0.154992719729784,0.00207986316962938,0.660371112165081
"11422-584",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111714835382753,0.257780784844384,-2.24574787316002,0.00123880606734578,0.155995247611031,0.00205481092337018,-2.24566223748387,0.00143806715541501,0.104628612129979,0.00197974145909976,-2.24176062204875,0.00406279049526681,0.152692218438238,0.00631441474361857,-2.24615216071778,0.00127969288760999,0.154992616474001,0.00206038746529361,0.664318540140446
"11422-585",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111641240744921,0.250338294993234,-2.24515394711915,0.00123867873677402,0.152597528116927,0.00205667241066158,-2.24438999835571,0.00143015231690981,0.101993833254923,0.00197955522788902,-2.24371396369232,0.00391336090425073,0.156703122096609,0.00649235376661182,-2.24457425051153,0.0012750436253461,0.152631316907969,0.00207851078418462,0.653492486272825
"11422-586",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111560692225506,0.258411843876178,-2.24601956555135,0.00123580469294887,0.154546991826874,0.00206098971836036,-2.24641253516395,0.00143505063016442,0.103993727918377,0.00198047932030437,-2.24601458136112,0.00389019519255119,0.14589878250605,0.00657205934980606,-2.24611776350197,0.00127377607556418,0.153861958655155,0.002076830930387,0.654753828362401
"11422-587",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111807034779077,0.257493188010899,-2.2446248167758,0.00124244074953128,0.153203835766746,0.00204919305076261,-2.24490769650674,0.00144211534536896,0.104156072131825,0.00197976316154494,-2.2462550970288,0.00400673530062583,0.148361315534301,0.0063867420574168,-2.24414687207403,0.00128054326889817,0.153017990720105,0.00208150183823797,0.654348842218676
"11422-588",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111656428226249,0.237002025658339,-2.24485132898322,0.00123721597445871,0.152696831964148,0.00205862787364087,-2.24581188463299,0.00141691487000408,0.107017467036549,0.00197836581331734,-2.24570249605832,0.00389066614292045,0.154933310411737,0.00655089903861195,-2.24511587613535,0.00127000612647401,0.152159590581425,0.00208916417753453,0.678087902303785
"11422-589",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111453319989211,0.258152173913043,-2.24718698394794,0.00124255393087806,0.152407880468178,0.00205537323203381,-2.24834385609644,0.00144374221036049,0.104858528495238,0.00198314402864364,-2.24448077045538,0.00398289252753919,0.138789672821128,0.00644438638766938,-2.24741880236075,0.00127761055264738,0.152397655672048,0.00208468171401773,0.65995993397439
"11422-590",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111717036163088,0.245283018867925,-2.24641621518207,0.001236778797568,0.15913214585753,0.00205780116258527,-2.24753073840583,0.0014246571065049,0.110380984776702,0.0019783176477458,-2.24353760796058,0.00383245740770361,0.155209715111012,0.00663515455678178,-2.24626427295656,0.00127114389285173,0.159037590808497,0.00207648602363836,0.661574185265219
"11422-591",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111666816934066,0.255420054200542,-2.24522634440095,0.00123947295163542,0.153095295227758,0.00205420911999438,-2.24405124136261,0.00143542761011091,0.101103450564783,0.00197948413178885,-2.24793438843341,0.00389580071692311,0.156218097736395,0.00655336137926818,-2.2453559867684,0.00127883161585669,0.153470240394281,0.0020615221573602,0.657454035977951
"11422-592",2200,-2.245641,0.1549768,-0.7,0.4,0.1,0.111745033752512,0.269732326698696,-2.24491379792195,0.00124697645849943,0.150533146063164,0.00204354881810241,-2.24523613092225,0.00145976956976456,0.101557631596288,0.00198282932381221,-2.24896756393505,0.00405616801962163,0.157315700122501,0.00633700242708102,-2.24459416520763,0.00128016621485047,0.1505234995472,0.00208186382461067,0.64987933623976
