"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_srs","se_beta0_srs","beta1_srs","se_beta1_srs","beta0_bcc","se_beta0_bcc","beta1_bcc","se_beta1_bcc","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_resid","se_beta0_resid","beta1_resid","se_beta1_resid","ppv"
"11422-162",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111287797257903,0.311184210526316,-2.24549446935183,0.00126202531786137,0.15399048165258,0.00213142873066463,-2.24559890040905,0.00126453703689318,0.153918502087024,0.00213677550255921,-2.24562445391551,0.00126406493062475,0.153691156810683,0.00213075442897323,-2.24553654014435,0.00127383734195799,0.153780561445783,0.00214722650857239,0.589765828274068
"11422-163",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.11195969240378,0.305364511691884,-2.24422652601747,0.00128727111966645,0.153414340959298,0.00206866072328118,-2.24414499070721,0.0012894203189742,0.153719922809615,0.00207020828494569,-2.24429885665901,0.00128735322238218,0.153279424929544,0.00206495013705542,-2.24419535989809,0.00130093453337165,0.1534501306536,0.0020785738469017,0.626890756302521
"11422-164",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.11193930206925,0.310486634681289,-2.24480697962502,0.00128594443293601,0.154975490494309,0.00205834095085261,-2.24452265936563,0.00129136301713845,0.155381415128456,0.00207260643021039,-2.24478024012703,0.00128890208693184,0.155392600525662,0.00207169581787195,-2.24461895060945,0.0013006058251785,0.155170509867743,0.00207866254758242,0.620603015075377
"11422-165",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111571693044359,0.299260255548083,-2.24594662358199,0.00128090838179835,0.152808535046961,0.00208100995535735,-2.2458241602635,0.00128391937396141,0.152929520426848,0.00208045073818151,-2.24574742183453,0.0012796011030572,0.153077296383815,0.00208699769290019,-2.24584716112913,0.00129202606819387,0.152702663315786,0.00209566062509547,0.615716753022453
"11422-166",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111905398904882,0.29399585921325,-2.24597684722841,0.00129000207265286,0.155540944138014,0.00205077510409303,-2.2460593470276,0.00129902220049356,0.155770153274657,0.00204688961583521,-2.2459544083556,0.00129143713065774,0.155955181598171,0.00205239801960798,-2.24586163921626,0.00130579007825263,0.155989266388291,0.00205829676538864,0.638062871707732
"11422-167",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.1115045452502,0.321885521885522,-2.24601178479937,0.00127032921193747,0.155292115137445,0.00211544066899831,-2.24610324003957,0.00127611727054641,0.154990069091008,0.0021094546238394,-2.24585641003067,0.00127373962417708,0.155493243361139,0.00211251092241861,-2.24592331784841,0.00128413924434546,0.155359653531965,0.00212391074362937,0.599329421626153
"11422-168",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111964141319206,0.291666666666667,-2.24558736803858,0.00130145067615733,0.154242998610139,0.00203869397570704,-2.245438210888,0.00130361077934368,0.154342942030527,0.00204509405306091,-2.24554046618482,0.00130309910591511,0.154415699385965,0.00204024712522082,-2.24551389767559,0.00131710702963945,0.15422011299994,0.00204394026535755,0.64406779661017
"11422-169",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111517502176996,0.302076356329538,-2.24601531058631,0.00126969984232291,0.157012044892748,0.00210583893226137,-2.24611949773237,0.00127544520066197,0.156994331736511,0.00211525154277531,-2.24610140844679,0.00126892980441425,0.157085878186948,0.00210855501465157,-2.24596473777911,0.00128416466103722,0.157275516904976,0.00212635597218551,0.610535405872193
"11422-170",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111653029252805,0.306693989071038,-2.24641281242329,0.00129096087027099,0.15222510376975,0.00206844437159937,-2.24639267759109,0.00129804449118608,0.152545362647121,0.00207408643826745,-2.24631911300747,0.00129215814637007,0.152371508057724,0.00207080041641598,-2.24650823679641,0.00130878231396833,0.152397827869933,0.00207500600743887,0.621097046413502
"11422-171",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.111625994924158,0.29012760241773,-2.24580470994642,0.0012691910026115,0.15837312450782,0.00208147816838751,-2.24597676385363,0.00127410886630137,0.158179774371004,0.00207833306001291,-2.24591783682617,0.00127040212717314,0.158143190118208,0.0020762264326142,-2.24581481066679,0.00127964365241704,0.158269189549706,0.00208485105045876,0.622047244094488
