"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-180",2200,-2.245641,0.1549768,0.1,0.8,0.11241920264052,0.169797687861272,-2.246407157645,0.00128016381367618,0.156331774099336,0.00200441388295929,-2.24765486574774,0.00140586319857388,0.125873024425978,0.00197043876410545,-2.24608551136387,0.00408135935116232,0.150589908680664,0.00631808236402281,-2.24687615416118,0.00130644040833986,0.155911058728348,0.00199161089621044,0.784941140107429
"11422-181",2200,-2.245641,0.1549768,0.1,0.8,0.112790940270291,0.168773234200743,-2.24593637506209,0.0012990153314018,0.156404585103588,0.0019888586515243,-2.24685740206386,0.00142526762433411,0.12737239190125,0.00196952120875672,-2.25074981429783,0.004173663918844,0.165687122347635,0.00625301120868352,-2.246673490431,0.00133297210826763,0.15561823408303,0.0019660329966329,0.804054120282168
"11422-182",2200,-2.245641,0.1549768,0.1,0.8,0.112954044604941,0.170342205323194,-2.24573177509428,0.0013133050559953,0.154305615850535,0.00198001096404827,-2.24575072982523,0.00144159977305575,0.125081532707366,0.00197056107141889,-2.24703773757431,0.00421584427706146,0.150713914269543,0.00624174053208373,-2.24580060738528,0.00133984093485915,0.154084596589171,0.00195549043709001,0.800204792759978
"11422-183",2200,-2.245641,0.1549768,0.1,0.8,0.112917067291551,0.156320119670905,-2.24505734238416,0.00130269153464354,0.155642585988595,0.00198628980396511,-2.24545516007564,0.00141858911358533,0.127913724321195,0.00196828663043769,-2.24538125454727,0.00396978426013964,0.163031741718636,0.00640957754040899,-2.24521762503448,0.00133211501321181,0.155813250754342,0.00195984499988923,0.806049386796786
"11422-184",2200,-2.245641,0.1549768,0.1,0.8,0.112921605839732,0.163934426229508,-2.24654238538574,0.00130102787541941,0.160077046369723,0.00198757573022309,-2.24578171804146,0.00142238113633596,0.127937334958583,0.00196901137841407,-2.25181885701918,0.00405226982945072,0.164868102335411,0.00635361249012028,-2.24630847041535,0.00132704284577272,0.160482737053413,0.00196419599379364,0.790772222230881
"11422-185",2200,-2.245641,0.1549768,0.1,0.8,0.112978062210965,0.179585571757483,-2.24642666664011,0.0013198248533113,0.154407114813562,0.00197714998860075,-2.24539108134019,0.00145614673240971,0.122505410477938,0.00197326384516665,-2.24071671818915,0.00440828003676581,0.146584382846306,0.00618172115942955,-2.24620743912358,0.00134643055983324,0.154252222784384,0.00194867992680583,0.791297459812824
"11422-186",2200,-2.245641,0.1549768,0.1,0.8,0.112937572726874,0.153383458646617,-2.245160499501,0.00130551929951731,0.155137441157168,0.00198348505125046,-2.24655800506361,0.00141986974681672,0.130157675649034,0.00196742233615098,-2.24146294258629,0.0041184695303566,0.156261781954062,0.00625923960858128,-2.24560437846316,0.00133857044849139,0.154815785749859,0.00194869655037474,0.817711485943945
"11422-187",2200,-2.245641,0.1549768,0.1,0.8,0.113234191930675,0.158705701078582,-2.24336902136419,0.00132039543123986,0.151872003105832,0.00197411271889698,-2.24299022017679,0.0014390302534086,0.124676633975906,0.00196789652224666,-2.24595382729486,0.00419240151482018,0.153862680230206,0.00623837257266148,-2.2432006814583,0.00134427394631591,0.151882295867018,0.00194054749111774,0.812004847502211
"11422-188",2200,-2.245641,0.1549768,0.1,0.8,0.113331250871689,0.168106834249804,-2.24673111249475,0.00133559170171525,0.157225832372285,0.00196904926813023,-2.24736779068998,0.00146479266470861,0.130714591719185,0.00197310464168519,-2.25370154897108,0.00417967435199848,0.162716718650008,0.00627212446381538,-2.24624874773702,0.00136232109368915,0.15697056476111,0.00193337032518225,0.808033701422041
"11422-189",2200,-2.245641,0.1549768,0.1,0.8,0.112756896305138,0.162825278810409,-2.24619041077976,0.0012984665055912,0.156259267362269,0.00198879394310157,-2.2463008333422,0.0014191431862578,0.126533950004589,0.00196857662739709,-2.25356290830671,0.00436340010162292,0.15878932794793,0.00620738801736948,-2.24671352608533,0.00133197647656136,0.155386041371256,0.00195080583139478,0.807554973660205
"11422-190",2200,-2.245641,0.1549768,0.1,0.8,0.112704420010757,0.184661206254654,-2.24652144939673,0.00130005333963541,0.15563622857956,0.00198900964451833,-2.24618802042093,0.00143927162015237,0.122178229756737,0.00197203507451152,-2.24715480303574,0.00416352239626744,0.158559699383507,0.00625554511649846,-2.24700069301639,0.00133128184792814,0.156236733108941,0.00196165839384619,0.77830319712508
"11422-191",2200,-2.245641,0.1549768,0.1,0.8,0.113217839790748,0.172596517789553,-2.24274947666393,0.00130824692872814,0.153784780927759,0.00197890757803368,-2.24311132930718,0.00143830811926023,0.124704753847611,0.00196778207059266,-2.2397261924795,0.00417704882856835,0.153556818521112,0.00621965483031732,-2.2431520441731,0.0013400492890682,0.153240402869098,0.00194460927614151,0.802339353446973
"11422-192",2200,-2.245641,0.1549768,0.1,0.8,0.112956063840623,0.150695517774343,-2.24783382667208,0.00132558117603408,0.155669423652331,0.00197568965820351,-2.24855767137719,0.00143893784219825,0.131174695582231,0.00197024890398578,-2.24604724287978,0.00411369292082014,0.15234265894297,0.00629095383164849,-2.24812740275144,0.00135634579148805,0.15547002548724,0.00193263730820624,0.827643234882334
"11422-193",2200,-2.245641,0.1549768,0.1,0.8,0.112880187289695,0.165644171779141,-2.24733685823912,0.00132026758627677,0.154693975787424,0.00197922471624248,-2.24746172148599,0.00144560549693124,0.126662211266095,0.00197262243263867,-2.2456922830483,0.00403912534318255,0.157483434556811,0.00634505642255066,-2.24737729576641,0.00135359411254199,0.154485991552007,0.00194063759163078,0.807292028780665
"11422-194",2200,-2.245641,0.1549768,0.1,0.8,0.113549487665137,0.187898089171975,-2.24572491176206,0.00134375548720993,0.156498570721774,0.0019653070814408,-2.2466387943148,0.00149168473500206,0.12869729608875,0.001979473700228,-2.24409961483239,0.00449866490560968,0.155220791874204,0.00618168600051076,-2.24592523401756,0.00137768204787227,0.156235486444526,0.00191943056793074,0.803841510762495
"11422-195",2200,-2.245641,0.1549768,0.1,0.8,0.113005317565841,0.176337603617182,-2.24581397475735,0.00130733875042876,0.157502181308946,0.00198197861884189,-2.24495380152368,0.00143986526355973,0.124610468019234,0.0019698426858687,-2.25328875482287,0.0042137849505518,0.165425547800117,0.00624702562361343,-2.24611349403506,0.00134051138630411,0.157555662902895,0.00194476624202697,0.792082335058937
"11422-196",2200,-2.245641,0.1549768,0.1,0.8,0.113039917521441,0.161387631975867,-2.24640247771382,0.00130765959154344,0.159344354805732,0.00198099499316071,-2.24662557513931,0.0014280989230539,0.130346408856823,0.00196741102751835,-2.24936576343148,0.00424376841644579,0.171128537019598,0.00619753169684084,-2.24670429884012,0.00133575347482451,0.159147211174799,0.00194847200704926,0.808164906100591
"11422-197",2200,-2.245641,0.1549768,0.1,0.8,0.113036298737444,0.15893536121673,-2.24516836706008,0.00131312277381229,0.15469176813462,0.0019796733466562,-2.24455954873985,0.00143143524319483,0.125771807221289,0.00196860275331706,-2.2503260601933,0.00409255454635347,0.166655259736452,0.00630611860393469,-2.24458535429899,0.00133633595568506,0.155121757871407,0.00195599840808532,0.799005094750294
"11422-198",2200,-2.245641,0.1549768,0.1,0.8,0.112843416847944,0.15015015015015,-2.24624884039417,0.00130555496997654,0.156024072814523,0.00198490527307231,-2.24684053035101,0.00141666755183584,0.12975606692698,0.00196809527747601,-2.24112406928854,0.00438086784607665,0.151991079062166,0.00618050990274345,-2.24651304879661,0.00132628622005042,0.155900560056833,0.00196067827884354,0.816913096506778
"11422-199",2200,-2.245641,0.1549768,0.1,0.8,0.113197151773097,0.181680545041635,-2.24424038527018,0.0013098811352849,0.156796313917146,0.00198005212831712,-2.24404594335731,0.00144787209715967,0.124809767604094,0.00197081504309395,-2.24505149026657,0.00408472864250507,0.159137806447309,0.00630647968555762,-2.24416166330039,0.00134040267896085,0.156561252334055,0.00195687431749765,0.78572719097448
"11422-200",2200,-2.245641,0.1549768,0.1,0.8,0.112840614158706,0.158339738662567,-2.24759484277162,0.00132147869126981,0.153927437958461,0.00197814040260322,-2.24701470868928,0.00143991607646056,0.125898626178896,0.00197114981839643,-2.25044892795881,0.00417130213265184,0.154787039742761,0.00626677710738605,-2.24702298565121,0.00134303431619132,0.1541256726263,0.00194775457588718,0.805173954068512
"11422-201",2200,-2.245641,0.1549768,0.1,0.8,0.112727369317735,0.159039759939985,-2.2464429526345,0.00130511785251221,0.154249854760951,0.00198664330826479,-2.24668517370443,0.00142344126730104,0.12622399120728,0.00196988688611239,-2.24348706972494,0.00400782997340263,0.151888420799246,0.00637850665058164,-2.24674520193189,0.00133505727407746,0.153947281233935,0.00195542070899779,0.809203844134618
"11422-202",2200,-2.245641,0.1549768,0.1,0.8,0.112775449689826,0.174962292609351,-2.24857872785406,0.00130941839352997,0.159012476950864,0.00198326781729499,-2.24860145625306,0.0014415803227505,0.127736223552361,0.00197162995418382,-2.24788297358941,0.00402754440356281,0.16222302838061,0.00635322352266599,-2.24855763340603,0.00134025633466583,0.158459543711144,0.00195422064030341,0.7929284516575
"11422-203",2200,-2.245641,0.1549768,0.1,0.8,0.113075210675708,0.15284178187404,-2.24645465635812,0.00132090674318777,0.156287960700865,0.00197692625363421,-2.24593512481163,0.00143461646036144,0.128738089417845,0.00196926882707027,-2.24788664467332,0.00415288119785092,0.15637404185206,0.00626711493250728,-2.24667139578766,0.00135048557101672,0.156247316926798,0.00193446079251009,0.821561832519856
"11422-204",2200,-2.245641,0.1549768,0.1,0.8,0.112926890927701,0.171320754716981,-2.24556564347744,0.00130795927329712,0.154966725521644,0.00198257061678467,-2.245897779212,0.00143690270872144,0.125586158783469,0.00196992288460416,-2.2440771010609,0.00412810899049255,0.149959052539738,0.00627930482778839,-2.24560295317086,0.00133591434355345,0.154912284301988,0.00195648035165888,0.794724653572537
"11422-205",2200,-2.245641,0.1549768,0.1,0.8,0.113515122815269,0.158478605388273,-2.24557211412892,0.00134049541041,0.156530838631859,0.00196580255084845,-2.24619177899914,0.00146184256950876,0.131843899448868,0.00197091025205723,-2.24997750919485,0.0043712722709795,0.152749472529105,0.00620786262132283,-2.24586196729496,0.00136613526199766,0.156786846409676,0.00192906069456705,0.826176979702569
"11422-206",2200,-2.245641,0.1549768,0.1,0.8,0.112952402509875,0.151029748283753,-2.24728791647479,0.00131625971324769,0.157172259822715,0.00197892279283954,-2.24836049402117,0.00142963338227554,0.132299115503643,0.00196869668603988,-2.24388967797868,0.0041765018169167,0.157244317736259,0.00623991329453896,-2.24781927516012,0.00134504910342045,0.156751962366499,0.00194997627562417,0.826890865419846
"11422-207",2200,-2.245641,0.1549768,0.1,0.8,0.11310533613573,0.157043879907621,-2.24528367189091,0.00132140833118831,0.153737272603769,0.00197586087372955,-2.24481899686939,0.00143876511997412,0.126238306677639,0.00196933041485413,-2.25017657263859,0.00423280520649985,0.152504231610953,0.00624331793575586,-2.24561507441871,0.00135116983452607,0.152884179916389,0.00193815696899423,0.824614596449022
"11422-208",2200,-2.245641,0.1549768,0.1,0.8,0.113044238157525,0.179368745188607,-2.24724918233679,0.00132285505421617,0.156958607758968,0.0019764178505456,-2.2467966106543,0.00145990640968914,0.125840048040222,0.00197434892423828,-2.25459253003158,0.00416395472529211,0.166612593399303,0.00627325978081308,-2.24657009182506,0.00134520386948902,0.157690476429231,0.00194726697489939,0.782292250913408
"11422-209",2200,-2.245641,0.1549768,0.1,0.8,0.112716216223723,0.154019534184823,-2.24675904661482,0.00130616180122581,0.154386056723045,0.00198576163222806,-2.24771188855674,0.00142078531954858,0.12854954422532,0.0019693209554969,-2.24460509293948,0.00403948831740547,0.146940527685375,0.00636107675911891,-2.24755613681114,0.00133613218040721,0.153679717802954,0.00195298028092414,0.823631066230909
"11422-210",2200,-2.245641,0.1549768,0.1,0.8,0.113205191829386,0.157043879907621,-2.24575266137016,0.00132112458932353,0.156752007628246,0.00197466628569437,-2.24521353326547,0.00143829174430913,0.128607671061034,0.00196833602080429,-2.24335090965797,0.00411518975036951,0.149188182133369,0.00629336167489853,-2.24551196921,0.00133897813604824,0.15664146241188,0.00195508525404715,0.812976164516827
"11422-211",2200,-2.245641,0.1549768,0.1,0.8,0.112788446854323,0.174107142857143,-2.24751522190038,0.00130031384838011,0.159933318887057,0.00198868984468093,-2.24841399650009,0.00143164646861967,0.129343508676585,0.00197072131760264,-2.24494661134835,0.00407728654630424,0.160416525376306,0.00629420208126482,-2.24778204513642,0.00133296456456753,0.159357027652071,0.00195887667885516,0.791788946318992
"11422-212",2200,-2.245641,0.1549768,0.1,0.8,0.113089803393624,0.15144596651446,-2.24464031182551,0.00131309217497774,0.154366854160142,0.00197861333895159,-2.24502101880514,0.00142576003787608,0.128507720125745,0.00196704830267204,-2.23568418938097,0.00420383232427427,0.140604589873402,0.0062162203756779,-2.24535829721571,0.00134078288582694,0.153889348185244,0.00194121857251594,0.828788588430071
"11422-213",2200,-2.245641,0.1549768,0.1,0.8,0.112977838695058,0.164488854727133,-2.24738447428171,0.00132129412273168,0.156237693289436,0.00197654542573158,-2.24738086959659,0.00144554970849615,0.128021500879533,0.00197101921552565,-2.24503343227024,0.00410834291042488,0.157403229722504,0.00627306880284113,-2.24727871089397,0.00135385685881637,0.156212748131067,0.00193575885372905,0.806497783881948
"11422-214",2200,-2.245641,0.1549768,0.1,0.8,0.112929812773804,0.177272727272727,-2.24592537861953,0.00131122611173052,0.154995496600403,0.00198147138607026,-2.24596038966321,0.0014456735928187,0.124449539477897,0.00197171069058478,-2.24436902840174,0.00405110607052551,0.150422079011803,0.0063360281087284,-2.24585613670029,0.00133868460427236,0.155303861065919,0.00195251853001061,0.787362520737174
"11422-215",2200,-2.245641,0.1549768,0.1,0.8,0.112789835929327,0.177827380952381,-2.24574728899189,0.00129903073069734,0.155791383290219,0.00198859979138489,-2.24566668088477,0.00143224845848289,0.123702913541911,0.00197030759865109,-2.24688793194615,0.00426537087342076,0.159219648190416,0.0062100684328981,-2.24555233769585,0.00131852929208233,0.155815961024646,0.001977812251365,0.779182336477915
"11422-216",2200,-2.245641,0.1549768,0.1,0.8,0.112701689037981,0.176733780760626,-2.2461191096695,0.00130075490429877,0.154252225320821,0.00198889196739363,-2.24630887074893,0.00143364012166271,0.123227675520947,0.00197130000853876,-2.25060580406205,0.00412428018064429,0.159966438665029,0.00628738295553623,-2.24624338930794,0.00132723251459951,0.154288465768327,0.0019681134873662,0.785151244028913
"11422-217",2200,-2.245641,0.1549768,0.1,0.8,0.113058811871348,0.165895061728395,-2.24618403563687,0.00132342951882741,0.154387260919649,0.00197583835941532,-2.24591713966257,0.00144862084852998,0.126054469491667,0.00197164853151327,-2.24934997527698,0.00401807251833541,0.158024281444608,0.00638556511514136,-2.24595414982228,0.00134865578678422,0.154487033189646,0.00194308289358905,0.804458474245488
"11422-218",2200,-2.245641,0.1549768,0.1,0.8,0.11306676352313,0.144048521607278,-2.24373582710299,0.00131024761553383,0.152613113552898,0.00198034245918694,-2.24308954013828,0.00141580814024549,0.125941578664207,0.00196627457073177,-2.24211665926912,0.00420412885899625,0.143659209939762,0.00623953820591255,-2.24332662716062,0.00132959562941354,0.152609783468839,0.00194762485935179,0.81719722148821
"11422-219",2200,-2.245641,0.1549768,0.1,0.8,0.113171584140224,0.159817351598174,-2.2437696994208,0.00131244061999303,0.154061302655964,0.00197785234829968,-2.24207876208268,0.00143062052338144,0.123133535705369,0.00196701720679649,-2.23842956353941,0.00438815903927041,0.146908787174714,0.00617286780884004,-2.24311673801244,0.00133374523559569,0.154734609336413,0.00194526029032333,0.796263843652409
"11422-220",2200,-2.245641,0.1549768,0.1,0.8,0.113000956595462,0.163328197226502,-2.24782978723001,0.00132288516396767,0.157198447231053,0.00197522876762907,-2.24786746366927,0.00144631303126755,0.129195277549155,0.00197063908125196,-2.24131786145898,0.00412179204859407,0.154027987367177,0.00625847459337727,-2.24735929528015,0.00134536331001616,0.15761712922508,0.00195228689031198,0.801495939107886
"11422-221",2200,-2.245641,0.1549768,0.1,0.8,0.113092935644916,0.183472327520849,-2.24238241757674,0.00130880814080629,0.150131132985376,0.00197998656043057,-2.24285858775126,0.00144894317107721,0.120479066288786,0.00197068237895919,-2.24188130401593,0.00393022012483843,0.152716648915979,0.00645299080881953,-2.24230007104365,0.00133615563718461,0.150728270558889,0.00196131130687019,0.780090778201425
"11422-222",2200,-2.245641,0.1549768,0.1,0.8,0.113224386466907,0.16793893129771,-2.24452031409803,0.00131537126270255,0.156202258699473,0.00197699108350371,-2.24528976812861,0.00144241846551582,0.128582335758277,0.00196921714113477,-2.24897512613868,0.00406094807590094,0.156963023241564,0.00633966373790646,-2.24466851748936,0.00134154932111677,0.156613812567256,0.00194896912445593,0.801387749989189
"11422-223",2200,-2.245641,0.1549768,0.1,0.8,0.113200880163253,0.181322957198444,-2.2457090091721,0.00132821755108527,0.15435673697088,0.00197165991595022,-2.24624105698101,0.00146846465725718,0.125840056191979,0.00197441725864866,-2.24773846427629,0.00418007554327117,0.160839862434515,0.0062447508059125,-2.24588904679547,0.00135828083972813,0.154392157886616,0.00193411150597723,0.799092299956723
"11422-224",2200,-2.245641,0.1549768,0.1,0.8,0.113108083765242,0.168582375478927,-2.2445144468686,0.00131759358844153,0.153036726219937,0.00197653489443079,-2.24430831448887,0.00144486152739819,0.124272023048379,0.0019699484902016,-2.24754297799107,0.004210608815724,0.160695573214786,0.00622253849574236,-2.24443977838696,0.00133958882920427,0.153129561924209,0.00195500346787563,0.801241856548395
