"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","eta0_gs","se_eta0_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","eta0_cc","se_eta0_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta1_mle","eta0_mle","se_eta0_mle"
"11422-484",390,-2.245641,0.1549768,0.1,0.9,0.115068899489004,0.0492610837438424,-2.2352375944842,0.00332125031411142,0.146604288190886,0.00462447558018335,2.92852351925679,0.324558179756972,-2.23487448502443,0.00340593359138891,0.138950783206589,0.00463671312916807,-2.23884763078243,0.0115186266824711,0.147284728570675,0.0148677209995999,3.09104245335832,1.02247469345258,-2.2401426615022,0.00925468039096007,0.0814272225972217,0.00959170180144846,4.62040365751662,0.619708661578762
"11422-485",390,-2.245641,0.1549768,0.1,0.9,0.114767981408585,0.1,-2.24522750782412,0.00345755809096327,0.15120048943086,0.0046564288168799,2.35387838738157,0.24006575831029,-2.24368108702462,0.00364190475763509,0.136390197804661,0.00471890673814177,-2.24958197046609,0.0109441670517284,0.152747005465696,0.01473940826931,1.2039728043239,0.465474323855621,-2.2553771724482,0.00780191127814554,0.0964346941420965,0.0080250844985792,2.9064549058424,0.257969813458591
"11422-486",390,-2.245641,0.1549768,0.1,0.9,0.114569269777678,0.103448275862069,-2.2430782665314,0.00333698649166485,0.153401760226669,0.00463886222377524,2.18658616521411,0.230127676186354,-2.24341692268112,0.00352517079416817,0.139497052775268,0.00467900652986931,-2.2354582275187,0.00946306166941211,0.156648284572813,0.0150355666193368,1.25276296849397,0.566946355851148,-2.23799017032414,0.00692043050984435,0.0769144395587519,0.00729325078186612,3.19917043963513,0.31325439238749
"11422-487",390,-2.245641,0.1549768,0.1,0.9,0.113395974092616,0.0810810810810811,-2.24891842594291,0.00320236517672192,0.159966029830263,0.00466885606333958,2.23359222150711,0.248007933115183,-2.24878104099925,0.00334074597884087,0.145267005941007,0.00466237725893175,-2.23540963803664,0.00929920626673759,0.133732172141067,0.0153826322330087,24.5660697612905,36335.8523888643,-2.23540963804016,0.00906575974436141,0.0626246825866901,0.00936456876021256,25.5252903181347,33581.3128919822
"11422-488",390,-2.245641,0.1549768,0.1,0.9,0.113685346111983,0.108490566037736,-2.24819981274579,0.0032746593342691,0.1554464590883,0.00465301592951515,2.04628933368381,0.221573124462573,-2.24880174563129,0.00346969122126035,0.139905172907989,0.00467666425734792,-2.25282299860656,0.010706365789631,0.145079370868075,0.0147799475494688,1.84582669049742,0.621260386270675,-2.25872530162105,0.00736098025071211,0.0900212248766252,0.00763780083448978,3.1850442748314,0.30449075277829
"11422-489",390,-2.245641,0.1549768,0.1,0.9,0.113317633624233,0.0686695278969957,-2.24514438988345,0.0031197329660865,0.160093525267026,0.00469519081880902,2.28365708310853,0.262429843004511,-2.24550614148676,0.00323357076591419,0.147035736914082,0.00466662633369504,-2.23376921542205,0.00985807798521483,0.154522630365083,0.0147357816026712,1.38629436111969,0.559016856137216,-2.2350835164977,0.00815826086763266,0.0612894122297901,0.00852405719325229,3.35104867598554,0.314953542259267
"11422-490",390,-2.245641,0.1549768,0.1,0.9,0.11478431680406,0.105527638190955,-2.24785751157276,0.00338260734560048,0.16312005560663,0.00464131588112865,2.20775096972341,0.229880498115585,-2.24440302015291,0.0035699022786632,0.142209910947087,0.00469131198839954,-2.25207817156426,0.0109790637765974,0.158454408279086,0.0147801973923649,2.9957322607839,1.02461719460789,-2.26817866761105,0.00763846186015825,0.112063826946484,0.00786664172434,2.7305351223607,0.241666590034403
"11422-491",390,-2.245641,0.1549768,0.1,0.9,0.114478837814521,0.105263157894737,-2.24090288117994,0.00328599007575977,0.152203223212829,0.00463757648574437,2.10745457510358,0.225778716362751,-2.2403328914929,0.00347295403460751,0.135751394547681,0.00466504942886568,-2.2329488910889,0.0103224487243661,0.165352783582789,0.0145577127452349,2.19722456035744,0.745294568564561,-2.24016894386235,0.00719962701985099,0.0775708692475299,0.00760369458319785,3.50984022957307,0.367119785779489
"11422-492",390,-2.245641,0.1549768,0.1,0.9,0.113290323897886,0.091304347826087,-2.24867168608651,0.00314577340437436,0.16468226730959,0.00468643631618397,2.0306513770522,0.232093986525931,-2.24872299564733,0.00330040104696343,0.146982301585727,0.00466349039537195,-2.25151311737859,0.0095616100233327,0.166920996033585,0.0151369531319952,1.25276296849397,0.566946355851148,-2.25242068693519,0.00725746459215008,0.0801041043583341,0.0076322689620467,3.25133227747286,0.308050140078416
"11422-493",390,-2.245641,0.1549768,0.1,0.9,0.112935587081803,0.155555555555556,-2.24801361284834,0.00317902663307978,0.151879115631907,0.00468275683119903,1.55059741241118,0.186096840306535,-2.24681100277306,0.00345695899410999,0.124760142415487,0.00468664564409438,-2.2486990670778,0.0104098901403314,0.148518040269175,0.0147458754000373,1.50407739677627,0.552770777123327,-2.26216700707602,0.00656241547423651,0.0879344440704427,0.00691271320308785,2.60912974195599,0.235481488742209
"11422-494",390,-2.245641,0.1549768,0.1,0.9,0.11404125965251,0.0976744186046512,-2.24595067505124,0.00324764222961116,0.159666772349374,0.00464792987016452,2.12026353250704,0.230931311284588,-2.24686450281902,0.00341974664893501,0.145469198869024,0.00466043022656563,-2.24481714068558,0.01039862759722,0.156322607716093,0.0146939867013797,1.791759469228,0.623609478485629,-2.25426072139194,0.00795287052598435,0.0888964669990194,0.00824208526601321,3.07667643432001,0.284471658035085
"11422-495",390,-2.245641,0.1549768,0.1,0.9,0.114256738661039,0.0700934579439252,-2.24689276843734,0.00326047719080414,0.164562858205438,0.00464398545832188,2.46243379393555,0.268976625214552,-2.24463053587604,0.00337718239525574,0.148329384526293,0.00465048872911949,-2.23967747179829,0.0109284710745792,0.156569718619653,0.0146784211318583,2.99573226078391,1.02461719460789,-2.26062895580096,0.0082726400064648,0.0976854388370936,0.00854747486936635,3.11999371026641,0.285824072823403
"11422-496",390,-2.245641,0.1549768,0.1,0.9,0.113420869587277,0.0567685589519651,-2.24548258685031,0.00314652058028665,0.159131385244697,0.00468269399485417,2.51645500752137,0.288329883614068,-2.24568523920072,0.00324066018351362,0.148431085715803,0.00466334507281542,-2.23509630565018,0.0108350512769781,0.148355593585935,0.0146379413703886,2.99573226078391,1.02461719460789,-2.23662433161246,0.00923547135337904,0.0629858112417989,0.0096228206477341,4.60933889382845,0.594385993609689
"11422-497",390,-2.245641,0.1549768,0.1,0.9,0.114051354361116,0.0788177339901478,-2.24812108309397,0.00334550943748973,0.154366498224686,0.00464860524349125,2.45851989461442,0.260475603752321,-2.25029939413658,0.00348921520527055,0.146958206385571,0.00467591278291787,-2.23867826877718,0.0109121916529593,0.135446803291154,0.014728964868762,2.99573226078391,1.02461719460789,-2.23956106408082,0.00909216916281677,0.0719036758354369,0.00948778993812066,4.79298516643812,0.665129997567593
"11422-498",390,-2.245641,0.1549768,0.1,0.9,0.11399104437291,0.11,-2.24799360985766,0.00336717389426382,0.150804799538696,0.00465135877123598,2.1559816111081,0.225193478868226,-2.24971824684586,0.00357151843960422,0.139165276761322,0.00470199734912476,-2.22597632140932,0.0111069920393179,0.110461434182304,0.0147763668968288,3.04452241195426,1.0234218591809,-2.23129029548242,0.00855613464348967,0.0625950297179174,0.00903324928459929,4.26419310848395,0.56160274190316
