"LocationID","CountyName","binX_full","binXstar","LandArea","PopulationDensity","O_POP","Y_DIABETES","binX_partial"
37151030600,"H",0,0,32.5,196.8,6387,748,0
37151030700,"H",0,0,140.4,42.8,6011,620,NA
37151030801,"H",0,0,36.3,197.1,7148,751,NA
37151030802,"H",0,0,77.6,81.1,6290,667,0
37151030900,"H",0,0,84.4,43.7,3686,476,NA
37151031000,"H",0,0,57.1,125.3,7151,937,NA
37151031100,"H",0,0,37.2,156.5,5823,763,NA
37151031200,"H",1,1,34.9,152.9,5336,753,NA
37151031303,"H",0,0,9.3,455.9,4226,453,NA
37151031304,"H",0,0,24.2,194.1,4701,555,NA
37151031305,"H",0,0,15.3,267.9,4090,487,NA
37151031306,"H",0,0,41.7,164.3,6845,644,NA
37151031400,"H",1,1,13.8,610.9,8452,837,NA
37151031501,"H",0,0,15.3,398,6079,627,NA
37151031503,"H",0,0,1.4,2173.2,3011,332,0
37151031504,"H",1,1,4.5,1168.9,5234,519,1
37151031505,"H",0,0,11.8,306.2,3618,380,NA
37151031601,"H",0,0,9.4,413.7,3905,508,NA
37151031602,"H",0,1,1,1514.8,1504,205,NA
37157040101,"I",0,0,49.7,82.4,4097,521,NA
37157040102,"I",0,0,38.3,73.7,2823,314,NA
37157040200,"I",0,0,15.6,252.5,3949,530,NA
37157040300,"I",1,1,5.8,642.3,3712,476,NA
37157040400,"I",1,1,8.3,768.1,6361,923,1
37157040501,"I",0,0,9.6,383.1,3659,582,NA
37157040502,"I",0,0,3.7,784,2876,380,NA
37157040601,"I",0,0,40.4,95.8,3872,469,NA
37157040602,"I",0,0,34.4,138.9,4784,555,0
37157040700,"I",0,0,41.7,108.4,4524,561,NA
37157040800,"I",0,0,2.8,590.8,1666,244,0
37157040900,"I",1,1,4.9,527.3,2587,360,NA
37157041001,"I",0,0,41.3,147.9,6103,623,NA
37157041002,"I",0,0,60.2,97.9,5894,684,NA
37157041100,"I",0,0,50.8,131.2,6657,786,NA
37157041200,"I",1,1,6.7,793,5282,893,NA
37157041300,"I",0,0,59.8,112.7,6737,1051,NA
37157041400,"I",1,1,7.3,412.5,2991,467,NA
37157041500,"I",0,1,10,696.3,6942,917,NA
37157041601,"I",0,0,30,117.1,3513,380,NA
37157041602,"I",0,0,44.4,103.9,4614,490,0
37169070100,"J",0,0,108.8,61.8,6720,713,0
37169070200,"J",0,0,74.9,48.9,3660,399,NA
37169070300,"J",0,0,91.5,51.7,4732,573,0
37169070400,"J",0,0,40.8,130.7,5337,609,0
37169070501,"J",0,0,12,574.3,6884,813,NA
37169070503,"J",0,1,10.7,546.6,5850,539,NA
37169070504,"J",0,0,15.4,220.8,3394,340,NA
37169070600,"J",0,0,52.5,98,5143,535,NA
37169070700,"J",1,1,42.3,134.4,5681,796,1
37171930101,"K",0,0,21.2,98.8,2093,243,NA
37171930102,"K",0,0,37,129.2,4783,551,NA
37171930201,"K",0,0,14.6,242.7,3543,443,NA
37171930202,"K",1,1,11.7,285.2,3332,467,NA
37171930301,"K",0,0,6.1,334.9,2042,256,NA
37171930302,"K",1,1,2.3,1559.1,3630,454,NA
37171930400,"K",1,1,1.4,1827.1,2576,418,1
37171930501,"K",0,0,6.9,421.5,2891,295,NA
37171930502,"K",1,1,5.7,580.8,3338,508,NA
37171930600,"K",0,0,15.8,221.1,3496,389,NA
37171930700,"K",0,0,28,155.8,4355,488,0
37171930801,"K",0,0,91.8,56.7,5201,625,NA
37171930802,"K",0,0,54.2,58.6,3176,401,NA
37171930901,"K",1,1,8.6,520.5,4467,590,1
37171930902,"K",0,0,16.7,95.9,1605,169,NA
37171931001,"K",0,0,20.4,124.4,2540,272,0
37171931002,"K",1,1,33.3,156.8,5216,574,NA
37171931003,"K",0,0,31.9,101.5,3234,421,NA
37171931101,"K",0,0,23.3,123.3,2870,345,NA
37171931102,"K",0,0,53.8,69.3,3728,399,NA
37171931103,"K",0,0,25.4,72.8,1846,220,NA
37171931200,"K",1,1,22.2,167.4,3711,405,NA
37197050101,"L",0,0,56.3,99.5,5600,616,0
37197050102,"L",0,0,45.6,89.1,4066,460,NA
37197050200,"L",0,0,43.9,103.2,4528,548,NA
37197050300,"L",0,0,37.4,159.5,5964,806,0
37197050400,"L",0,0,69.8,96.3,6729,801,0
37197050501,"L",1,1,37,192.6,7130,799,1
37197050502,"L",0,0,44.8,97.9,4389,492,NA
