"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-195",2200,-2.245641,0.1549768,0.1,0.9,0.11405740359694,0.087719298245614,-2.24557228757376,0.00137666581811294,0.156760013202404,0.00195618042636626,-2.24499482939218,0.00144090975155848,0.141860013433219,0.00196215358839815,-2.24171936173872,0.00430738316035023,0.159681115922323,0.00617873576520477,-2.24532921512042,0.00139072620621718,0.157315188072808,0.00189430537761013,0.898811812049508
"11422-196",2200,-2.245641,0.1549768,0.1,0.9,0.113984745631644,0.0836092715231788,-2.24416227067029,0.0013687162546761,0.154170704314733,0.00195689025520142,-2.24441320273501,0.00143006164209046,0.141331091326413,0.00196047602398839,-2.24755098033925,0.00433448861245158,0.159790101421053,0.0061929216276372,-2.24453743511011,0.00138276567452144,0.154183416343449,0.00189358282042851,0.912329362039106
"11422-197",2200,-2.245641,0.1549768,0.1,0.9,0.113877236582436,0.0834710743801653,-2.24494971472041,0.00136896504660146,0.154129323712541,0.00195859713396134,-2.24395558614952,0.00142922449436469,0.138955428943801,0.0019617957022283,-2.23874736160738,0.0043559428558857,0.152590729659349,0.00617321576882627,-2.24430886376218,0.00137861950129207,0.154620053202948,0.00189610451812011,0.896019908923022
"11422-198",2200,-2.245641,0.1549768,0.1,0.9,0.113653426125674,0.0819140308191403,-2.24676893974474,0.00135700408406926,0.157222213257706,0.00196164752506746,-2.2466051799052,0.00141609066928999,0.143061129331345,0.00196159540013497,-2.24506605266523,0.00406907579787728,0.15518969433727,0.00631867692940842,-2.24675795006867,0.00136813810301037,0.156808443411429,0.0019202500275692,0.907834238971882
"11422-199",2200,-2.245641,0.1549768,0.1,0.9,0.114167294053094,0.0918196994991653,-2.24328921010606,0.00137484311346708,0.154243386533005,0.00195635502297357,-2.24229870766104,0.00144190402637226,0.138176785480537,0.00196245060118549,-2.23829158460206,0.00444778316564354,0.151335031606039,0.00616781484732762,-2.24292438806238,0.00138749238875679,0.154290500720259,0.00189693974250543,0.896071831046656
"11422-200",2200,-2.245641,0.1549768,0.1,0.9,0.113719781024832,0.0860484544695071,-2.24811644072283,0.00137801802933707,0.15587184072725,0.00195914753147479,-2.24891576078015,0.00144200146170314,0.143823512650706,0.00196489694663934,-2.2511433392811,0.0044104235497459,0.157507103439847,0.00619444550745007,-2.24817282563876,0.00138664917674931,0.155773474479165,0.0019103326062529,0.908172262919039
"11422-201",2200,-2.245641,0.1549768,0.1,0.9,0.113591338555785,0.0877335499593826,-2.24523888754739,0.00135719651488896,0.152593883092773,0.00196227464690054,-2.24488327221423,0.0014207049260554,0.137624571803369,0.00196269314305961,-2.24351232209986,0.00425404720225671,0.158380517743865,0.00620299960317458,-2.24534381242917,0.00137156890694607,0.152111987105711,0.00191036305904321,0.904278522402095
"11422-202",2200,-2.245641,0.1549768,0.1,0.9,0.113809710047137,0.0869565217391304,-2.24745962273071,0.00137788976470576,0.156063976289046,0.00195796515725855,-2.24840679467745,0.0014425879693901,0.144182876306091,0.00196401555533407,-2.24303328542142,0.00438200321354239,0.148037522402091,0.00619139536125854,-2.24824020145995,0.00139315173125537,0.155810320720916,0.00190575826585426,0.917626897349085
"11422-203",2200,-2.245641,0.1549768,0.1,0.9,0.113769958381696,0.0912078882497946,-2.24461573987877,0.00136514561042185,0.152567431309119,0.00196038620914587,-2.24454171354326,0.00143177117573231,0.138010055560825,0.00196345602746773,-2.24783490712404,0.00435821757365066,0.150968962114355,0.00620875209162634,-2.2443974113095,0.00137326613103664,0.152533662254544,0.00190648830601465,0.895888426521891
"11422-204",2200,-2.245641,0.1549768,0.1,0.9,0.113931084895757,0.0910596026490066,-2.24539451231299,0.00136987281582441,0.155743709559611,0.00195755380329461,-2.24582604219967,0.00143718318530134,0.14204504523579,0.00196234026256338,-2.24314537999607,0.00435979113567639,0.150465260827706,0.00618537815592579,-2.24554379193148,0.00137875740925091,0.155888998914191,0.00191546590494899,0.901239026228704
"11422-205",2200,-2.245641,0.1549768,0.1,0.9,0.114433284122457,0.0790616854908775,-2.24300202932495,0.00140203192059566,0.151783392232662,0.00195391694215803,-2.24337661440255,0.00146131493302216,0.141149800558603,0.00196430302959796,-2.24442901272924,0.00453515791041055,0.155733880140463,0.00617958282614056,-2.24325372026471,0.00140810168253377,0.152443937570296,0.00189522199662691,0.918903299295598
"11422-206",2200,-2.245641,0.1549768,0.1,0.9,0.113725127143834,0.0792079207920792,-2.24841986769027,0.00136988310801819,0.158771829964433,0.00195957417462694,-2.2483770904652,0.0014274236302182,0.145634703123514,0.00196239779366891,-2.2465802679342,0.00446784754003203,0.166706817947943,0.00616895152877777,-2.24844654717996,0.0013818696098551,0.15858733738376,0.00190282250344475,0.912957892313197
"11422-207",2200,-2.245641,0.1549768,0.1,0.9,0.113872430523389,0.0922693266832918,-2.24384311657095,0.00137172110096398,0.150764697134703,0.00195866032626547,-2.24427460419675,0.00144021479312774,0.137407299058598,0.00196391925943252,-2.24607093582909,0.00411247523158216,0.149125825753304,0.00630168423202771,-2.24416412753236,0.00138588964998257,0.150156212475544,0.00190163164042945,0.907868817112521
"11422-208",2200,-2.245641,0.1549768,0.1,0.9,0.113950390374292,0.0996621621621622,-2.24703709636423,0.00138563000096742,0.155939833329189,0.00195783090988781,-2.24767362669047,0.00146068649911886,0.141980546545361,0.00196803806147186,-2.24834020736346,0.00437319533989741,0.156315763333304,0.00619453421119704,-2.24702913895797,0.00139738620346209,0.155793242306094,0.00190139448772361,0.896829873236302
"11422-209",2200,-2.245641,0.1549768,0.1,0.9,0.113528197434326,0.0852965069049553,-2.24557153834422,0.00135741416305143,0.152087768084298,0.00196245808530572,-2.24555032795368,0.00141913621382659,0.138196477846316,0.00196267636183593,-2.23956584939546,0.00423200952257937,0.151437680338974,0.00620668415714587,-2.24565858154823,0.00137079327118854,0.151667249323983,0.0019024733558109,0.906117179070197
"11422-210",2200,-2.245641,0.1549768,0.1,0.9,0.114026354798599,0.0836120401337793,-2.24538737009126,0.00137665539573861,0.155649353877526,0.00195679934804883,-2.24551631321559,0.00143812217119517,0.142747459673304,0.00196213590110657,-2.25205514567074,0.00449217011766039,0.156041479123163,0.00620057207717648,-2.24542107056777,0.001378679020673,0.155707844026223,0.00190867509154742,0.909474150411497
"11422-211",2200,-2.245641,0.1549768,0.1,0.9,0.11383160210944,0.0872427983539095,-2.24394736537301,0.00136532499577423,0.151961073338842,0.00195949558711816,-2.24323371642432,0.00142842083820866,0.136849671310696,0.00196219171110299,-2.23950288572319,0.00421475861080062,0.149734981647206,0.00621854087082444,-2.24370616807609,0.00137782784662483,0.15191941575428,0.0018944178652913,0.899977160928614
"11422-212",2200,-2.245641,0.1549768,0.1,0.9,0.113854696618345,0.0853158326497129,-2.24631504565316,0.00136422812143753,0.157843724848281,0.00195880622416225,-2.2461366243223,0.00142625156916865,0.143416438793634,0.00196120188035429,-2.24356135338972,0.00436389890319269,0.159830877391184,0.00617800310329647,-2.24624328228709,0.0013779106138385,0.157350600063761,0.00190150117455898,0.906351183047966
"11422-213",2200,-2.245641,0.1549768,0.1,0.9,0.113774925222158,0.0954356846473029,-2.24668502120033,0.00137251667083474,0.155168054495924,0.00195881514069723,-2.24594090772603,0.00144261650239337,0.138779432302191,0.00196455092239752,-2.2449083709023,0.00441657057349785,0.153429074465432,0.00618138821765167,-2.24636946492094,0.00138268198654834,0.155043600529403,0.00190350163135195,0.893177946398416
"11422-214",2200,-2.245641,0.1549768,0.1,0.9,0.113875419122787,0.0956738768718802,-2.24564704391186,0.00137398763967109,0.154330409470313,0.00195814602874614,-2.24559027184421,0.00144479663160991,0.139353672298663,0.00196449707767332,-2.24381364762776,0.00406369676009796,0.143963055748584,0.00633124227190411,-2.24562279480188,0.00138335259060484,0.154320972830838,0.00190213628259739,0.896429893994273
"11422-215",2200,-2.245641,0.1549768,0.1,0.9,0.113671513370275,0.100486223662885,-2.24572722245497,0.00135538649289084,0.15554662333828,0.00196150085965152,-2.24678684010274,0.00142974741205592,0.141027431902889,0.00196314350047027,-2.24639592557037,0.00416742542127257,0.161496394327288,0.0062466698886152,-2.24623833599608,0.00136990264902781,0.155464183918152,0.00192321072781217,0.89331197864151
"11422-216",2200,-2.245641,0.1549768,0.1,0.9,0.113646819706294,0.0952380952380952,-2.24650862933959,0.00136480736286203,0.154270413468809,0.00196081413997259,-2.24665932548528,0.00143493096721149,0.139323920200368,0.00196431569836542,-2.24701755718713,0.00424361548438424,0.154945221403969,0.00622174068867395,-2.24676059013201,0.00137831213003393,0.154165848439215,0.00190708792835706,0.898288740835758
"11422-217",2200,-2.245641,0.1549768,0.1,0.9,0.113978895881669,0.0869198312236287,-2.24824360786525,0.00138544377547116,0.158997970486428,0.00195742257856943,-2.24892960997804,0.00145039328082646,0.146617286813239,0.0019652735377185,-2.24450806280689,0.0043779699121438,0.158571264497726,0.00617609153082091,-2.24807863006562,0.00139343542348715,0.158581494730696,0.00189984725282379,0.908403648987674
"11422-218",2200,-2.245641,0.1549768,0.1,0.9,0.113821827529756,0.0838079739625712,-2.24468062636872,0.00135781687528937,0.155332603887788,0.00196015379414724,-2.2447967560377,0.00141878749671016,0.141628077615767,0.00196074396724344,-2.24369605561126,0.00425420073845614,0.1631198516497,0.00619083126545198,-2.24485180740843,0.00136611188828433,0.155467160050056,0.00190033312042546,0.90543566177061
"11422-219",2200,-2.245641,0.1549768,0.1,0.9,0.114094406181871,0.0808333333333333,-2.24388453151616,0.00137337973440338,0.154449595010921,0.00195595801523059,-2.24378873587302,0.00143239527051287,0.141540239170087,0.00196028615255176,-2.24740123113635,0.0043533009178006,0.162260327749509,0.00618158458378368,-2.24383938105827,0.00138208948156816,0.154749137879381,0.00190580652962639,0.909096488009165
"11422-220",2200,-2.245641,0.1549768,0.1,0.9,0.113777086590819,0.0861204013377926,-2.24642301540801,0.00137707956804741,0.153312721316852,0.00195814495439609,-2.24668731893409,0.00144068395652213,0.140491866255329,0.00196377267719951,-2.25477201744024,0.00424319559907266,0.169273136510868,0.00622635706526433,-2.24632366739998,0.00138250454333555,0.153562826779097,0.00191738329768112,0.904054089338791
"11422-221",2200,-2.245641,0.1549768,0.1,0.9,0.114056584817179,0.10108604845447,-2.24507997348396,0.00137578218950648,0.155754805344209,0.00195591849183881,-2.24521723274862,0.00145108182427658,0.140375997688535,0.00196408175487532,-2.24233719446662,0.00451224608952916,0.157018758444358,0.00617256864276113,-2.2448784378703,0.00138805794833995,0.156464057031669,0.0019101324963051,0.885469072300312
"11422-222",2200,-2.245641,0.1549768,0.1,0.9,0.114161335144646,0.095397489539749,-2.24420218085546,0.00137696726593971,0.155582354272957,0.00195590775476145,-2.2436627314013,0.00144736244232726,0.139803496829423,0.00196327325595566,-2.23871167400381,0.00444457420901054,0.150251660788262,0.00616482534735884,-2.24396350560845,0.00138527965856904,0.155671152159959,0.00190842867450038,0.894542237400815
"11422-223",2200,-2.245641,0.1549768,0.1,0.9,0.114312510326394,0.0850694444444444,-2.24589934169173,0.00140297805331218,0.155489799130091,0.00195461790589903,-2.24589310756014,0.00146682394553696,0.143074422957689,0.00196630216828199,-2.2454739632959,0.00434392574381777,0.1496751831912,0.00619638712350625,-2.24647070868881,0.00141484845001452,0.155295982887255,0.00189278323289957,0.922788219256008
"11422-224",2200,-2.245641,0.1549768,0.1,0.9,0.114132029981986,0.0862214708368555,-2.24470338191971,0.00138404985374264,0.154348891142107,0.00195545597615837,-2.24477956077618,0.00144765671350825,0.141422581658354,0.00196301702034723,-2.23947311157211,0.00456844788690124,0.150376585256347,0.00617866814958371,-2.24471164477131,0.00139448538708279,0.153969975186472,0.00190142623390685,0.911410913614137
"11422-225",2200,-2.245641,0.1549768,0.1,0.9,0.113669717920172,0.0864600326264274,-2.24645801350422,0.00136092292576957,0.155787084663964,0.00196111224091879,-2.24639844808636,0.00142382933404803,0.14142073020302,0.00196251066324365,-2.24804601524626,0.0043707299778877,0.160835858790777,0.0061868319936205,-2.24648638047054,0.00137419661522719,0.155515183485779,0.00191345917330799,0.90390668251848
"11422-226",2200,-2.245641,0.1549768,0.1,0.9,0.113973126817169,0.09375,-2.24245788190171,0.00136320730657513,0.151626371414219,0.00195745910451121,-2.24213689702135,0.00143173156655284,0.136313785946192,0.00196088196398668,-2.23565372023337,0.00441450419051716,0.146781601533276,0.00615991022723886,-2.24238266806822,0.00137352955718322,0.151616855799843,0.00189912322954098,0.895273188083792
