"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-54",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121302878391071,0.308724832214765,-2.24623936860736,0.0027584756625466,0.156608622456747,0.00293761025950226,-2.24851597094023,0.00332216680232884,0.1523649504692,0.0034664626459207,-2.23232415447896,0.00877327952085635,0.143798281983644,0.00933418688815518,-2.24768401501845,0.00183462156871715,0.157764610737832,0.00183309816284085
"11422-55",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12129780906844,0.31864406779661,-2.24124698653686,0.00276708983402407,0.150675508454294,0.00294558954162888,-2.24307800808673,0.00335681848859708,0.146055350709315,0.00349945691606476,-2.24355075242042,0.00793825366934616,0.153602227064246,0.00857793001994897,-2.24205784542595,0.00169518820644253,0.151304197288268,0.00169349215137541
"11422-56",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121231237242298,0.311036789297659,-2.25162839764973,0.00276278848710372,0.16211070119708,0.00294164435402939,-2.2529239644112,0.00333052109475148,0.156521841635767,0.0034744513420518,-2.25511494911924,0.00832149329768865,0.168543321354688,0.00892140098864269,-2.25265399279352,0.00174548940578995,0.163052329111302,0.00174370698165916
"11422-57",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120984818619045,0.344370860927152,-2.24805054396372,0.00274378560610019,0.15599021988056,0.00292457915935483,-2.24629140074804,0.00338724236702171,0.146537240114652,0.00352879466842777,-2.23666710738545,0.00930927398559992,0.150408326368199,0.00982980762999647,-2.24607595682584,0.00190769467441241,0.154558549947628,0.00190709038976968
"11422-58",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121381116008405,0.339222614840989,-2.24850876011357,0.00283542131599082,0.158739514206891,0.00300872116789848,-2.25071021402229,0.00349185225075302,0.154091709785921,0.0036282431185931,-2.24212612717187,0.00884263238385481,0.153105557895875,0.00939942384267958,-2.24907624139532,0.00186250158158179,0.159415460411154,0.0018611857379073
"11422-59",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121196988111453,0.310344827586207,-2.25061493930677,0.00280324286348168,0.159935490338626,0.00297908404504322,-2.25347918205073,0.0033789944924684,0.156383811063634,0.00352064636209801,-2.25037149384869,0.00806058313199517,0.163175182361958,0.00868441377066231,-2.25250682438491,0.00172124361111398,0.161394434272987,0.00171948556281777
"11422-60",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121374200671472,0.254355400696864,-2.24330423949791,0.0028080572720368,0.153116992496227,0.00298319783336301,-2.24471103214141,0.00325423901041835,0.1494256883714,0.00340177759826694,-2.2493787004787,0.0086979513389351,0.158961220567071,0.00926639874890265,-2.24324843194846,0.0018104607705755,0.15315457492093,0.0018092431526063
"11422-61",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12150701216798,0.295620437956204,-2.24223172089409,0.00287154749758209,0.152187496363339,0.00304193867874078,-2.2387344671043,0.00341553509900937,0.142684251172758,0.00355508605739151,-2.24098391930066,0.0077073688633276,0.15320367316474,0.00836888994511132,-2.24025885392465,0.00167152656346719,0.151245803466955,0.00166983812168929
"11422-62",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121242531012653,0.290969899665552,-2.24529937655007,0.00275360836153146,0.155063405130412,0.00293316954183095,-2.24678396497236,0.00327222163982602,0.150382827353847,0.00341905555910849,-2.24883593930337,0.00919678314381506,0.161534287620825,0.00972672588020893,-2.24581344239999,0.00188093541851242,0.155453181496639,0.00187982666047455
"11422-63",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.1213711273043,0.306620209059233,-2.24206467751709,0.00280579064003797,0.15165173219102,0.00298111442758541,-2.24591856307918,0.00337475853567324,0.149640931727104,0.00351635446387784,-2.25804841860211,0.0107051362371798,0.167015026440706,0.0111498455768507,-2.24343975195908,0.00209989581628033,0.153080977418199,0.00209971971520359
