"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-53",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108899411307722,0.292358803986711,-2.24609962105183,0.00112084629109519,0.150944008551165,0.00249245043502754,-2.24531695613488,0.00133204410546267,0.0654588269196181,0.00201929125238713,-2.24758441788631,0.0035640929649215,0.158830456346725,0.00774883843226814,-2.24564764061494,0.000681719994030182,0.152960859498462,0.000672081789037072
"11422-54",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10899218171547,0.297193175564117,-2.245005718352,0.00111665542491771,0.153767009420227,0.00251605185446721,-2.24494326909903,0.00133190591340347,0.0664774966080437,0.00201814419523122,-2.24771359431634,0.0034864788460044,0.157198848278567,0.0084395351847759,-2.24530900124889,0.000673158876063938,0.152896885537737,0.000663330555018918
"11422-55",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108949315475012,0.281643835616438,-2.24544172661935,0.00111489752092579,0.157035336001528,0.00253117954901049,-2.24609205401635,0.00131573094413086,0.0708789312285456,0.00202711611382556,-2.24155904380019,0.00353217886684948,0.156209994513591,0.00787110409095363,-2.24537102812952,0.00067912878910178,0.157156733104663,0.000669641026206031
"11422-56",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109216479404229,0.282584269662921,-2.24506703175007,0.00112843349163739,0.151070019510918,0.00243072832730999,-2.24534873302813,0.00133255602936551,0.072251264105077,0.00201475873262794,-2.24401825457133,0.00357297671055558,0.160322822647471,0.00758042732070821,-2.24479047632342,0.000686701800015564,0.151008818995874,0.000677541513627228
"11422-57",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108959552460421,0.298888888888889,-2.24663644246611,0.00112296721816868,0.154089724305528,0.00247567411803157,-2.24675531549519,0.00134115820266562,0.0688814171915084,0.0020146435986346,-2.24582559080782,0.00354215848538138,0.153815007268783,0.00790045680494355,-2.24644318662128,0.000680927877691607,0.154902649403453,0.000671573818990972
"11422-58",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108997972358547,0.309641873278237,-2.244482414017,0.00111742201148125,0.150662441465249,0.00251226686964516,-2.24468637108683,0.00134489733647757,0.0644853373510721,0.00201327479593428,-2.24496211440795,0.0036114017633818,0.138674926156436,0.00748907750484528,-2.24442174084597,0.000688272074833568,0.150719951121011,0.000678852078233851
"11422-59",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10897792678276,0.301939058171745,-2.24623677512683,0.00112123090712091,0.154738353270653,0.00248515509006101,-2.24737949800726,0.00134292524295459,0.0705275684576933,0.0020135567569648,-2.24860675999011,0.00353284026734327,0.164692155160363,0.00795040221247153,-2.24674361914783,0.000680349689846996,0.153070454520618,0.000670773949117984
"11422-60",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109189964306237,0.301781737193764,-2.24559419875198,0.00112333561575523,0.157878511937979,0.00246141686528039,-2.24415401472971,0.00134348494664097,0.0672072002629295,0.00201059909659177,-2.23898400168153,0.00346105608395704,0.133814446655609,0.00857003330241802,-2.24547783563252,0.000672962460539907,0.157927625637773,0.000663351286945966
"11422-61",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10915027953802,0.281612368856985,-2.24350481380276,0.00111762852394331,0.151268532473308,0.00250016333478157,-2.24334565624008,0.00131848304790328,0.0678871989078698,0.00202233334695841,-2.2417030283425,0.00357195124249902,0.149113932787715,0.00761480004906335,-2.24361057192568,0.000684196531583539,0.150959162631468,0.000674815436083036
"11422-62",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.1091813601683,0.309921962095875,-2.24653133155517,0.00112481778707302,0.161296794462474,0.002453478219584,-2.24763682788065,0.00135482406972603,0.0737230799924306,0.00200721479205836,-2.24678005809028,0.00359905458465655,0.157213151030362,0.00748833790807874,-2.24616097757273,0.000687084273003316,0.162822380317443,0.000677927698544885
"11422-63",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109025975693134,0.30137741046832,-2.24522178841056,0.00111735783795361,0.15569949725492,0.00250719277487495,-2.24509626904494,0.0013367701342085,0.0669867263595547,0.00201503113191689,-2.24533133970576,0.00366283007378296,0.157783913171538,0.00717584100244751,-2.24519071409943,0.000694589370887442,0.15731638502957,0.000685401651255475
"11422-64",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109125954866403,0.311111111111111,-2.24502236976888,0.00112196886826506,0.153692443131426,0.00247383002525429,-2.24502637106501,0.00135233172733341,0.0668459491250701,0.00200867618886998,-2.24759875027388,0.00358287082063671,0.153359192222969,0.00762449670996972,-2.244701743851,0.000684404233485695,0.153964672416,0.000675054814388578
"11422-65",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10903292477674,0.31367144432194,-2.24540288414115,0.0011183936566834,0.156479026012147,0.00250495852547604,-2.24551674807766,0.00134982839271196,0.0665240117855546,0.00201140698760552,-2.24682463167243,0.00352254518167358,0.150666392474891,0.00808301674387249,-2.24588440127642,0.000678894574376518,0.15439712062012,0.000669414433540759
"11422-66",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108932326133081,0.287548855388051,-2.2471500113743,0.00112630147163609,0.152435003474219,0.00245661374820213,-2.24662089775971,0.00133422860653753,0.0691402969215182,0.00201788497867591,-2.24287231760612,0.00360536467149632,0.144780540893417,0.00746231937491974,-2.24708342461454,0.000691452255750929,0.152843585957399,0.000682270663666795
"11422-67",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10907712390832,0.296831573096165,-2.24645493098049,0.00112315143887017,0.158257527434609,0.00246789756995404,-2.2475230253454,0.00134006565653286,0.0733944476772701,0.00201330059351981,-2.24481088842423,0.00356767528825925,0.157327237208346,0.00766400919143334,-2.24665993181191,0.000684697099325124,0.158334425799808,0.000675386050647921
"11422-68",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108824425215584,0.315703380588877,-2.24454138384582,0.00111129873807065,0.149647419517344,0.00256098854983462,-2.24405345864523,0.00134311298519572,0.0595734093676726,0.00201497172873444,-2.24408818524199,0.00355664636125551,0.148307299410447,0.00776724336197904,-2.24475271764263,0.000680210689377828,0.150783359593837,0.000670565225869313
